ID,Semana,Persona,Area,Modulo,Tarea,Horas,HorasManual,Prioridad,Estado,Inicio,Fin,Dias,HorasReales,Desvio,IssueIID,GitLabURL,Evidencia,Actualizado,RolOriginal,Sprint,Tema,Submodulo
TC-05,,,QA,Conectores,"Tests de conectores restantes (booking-channex, bookingengine-payments, messages-*, pushtokens-*, reembolsos-gastos)",12,24,MEDIA,COMPLETADO,,,,,,314,https://gitlab.com/underworf1/solmios/-/issues/314,"connectors/tests/restantes-connectors.test.ts — booking-channex, messages-*, pushtokens-*",2026-07-14,,,COBERTURA CONECTORES,Backend
RL-01,,,Backend,Seguridad,Rate limiting distribuido (hoy es un Map en memoria: con PM2 en cluster cada worker tiene su propio contador),8,12,MEDIA,PENDIENTE,,,,,,316,https://gitlab.com/underworf1/solmios/-/work_items/316,,,,,INFRAESTRUCTURA,Backend
M43-UI,,,Frontend,ai-gerente,"Diseñar e implementar UI de AI Gerente (chat, historial de interacciones, feedback)",12,24,MEDIA,PENDIENTE,,,,,,318,https://gitlab.com/underworf1/solmios/-/work_items/318,,,,,COMPLETAR MÓDULOS PARTIAL,Frontend
M45-SVC2,,,Frontend,auditlog,Extraer AuditLog.service.ts dedicado (hoy audit() vive en Platform.service.ts),4,6,BAJA,PENDIENTE,,,,,,313,https://gitlab.com/underworf1/solmios/-/work_items/313,,,,,COMPLETAR MÓDULOS PARTIAL,Frontend
ACC-0,,,Backend,contabilidad,Schema ORM + wiring base + dependencia payments.source,10,20,ALTA,PENDIENTE,,,,,,,,,,,,CONTABILIDAD (Odoo),
ACC-1,,,Backend,contabilidad,Plan de cuentas + diarios + seed base,16,32,ALTA,PENDIENTE,,,,,,,,,,,,CONTABILIDAD (Odoo),
ACC-2,,,Backend,contabilidad,Asientos manuales + partida doble + reverse + cierre,22,40,ALTA,PENDIENTE,,,,,,,,,,,,CONTABILIDAD (Odoo),
ACC-3,,,Backend,contabilidad,Asientos automaticos (5 connectors desde eventos),24,44,ALTA,PENDIENTE,,,,,,,,,,,,CONTABILIDAD (Odoo),
ACC-4,,,Backend,contabilidad,"Reportes: balance comprobacion, P&L, balance general, diario, mayor",20,36,ALTA,PENDIENTE,,,,,,,,,,,,CONTABILIDAD (Odoo),
ACC-5,,,Frontend,contabilidad,"Frontend Vue: plan de cuentas, libro diario, 5 reportes",12,22,MEDIA,PENDIENTE,,,,,,,,,,,,CONTABILIDAD (Odoo),
ACC-6,,,QA,contabilidad,Tests anti-doble-conteo + dedup + anti-ORM + gate,6,10,ALTA,PENDIENTE,,,,,,,,,,,,CONTABILIDAD (Odoo),
SE-1,,,Backend,entitlements,Modelo de datos + migraciones (4 tablas),12,24,ALTA,PENDIENTE,,,,,,,,,,,,SAAS ENTITLEMENTS,
SE-2,,,Backend,entitlements,Motor: EntitlementError 402 + resolver + middleware,14,28,ALTA,PENDIENTE,,,,,,,,,,,,SAAS ENTITLEMENTS,
SE-3,,,Backend,entitlements,Cablear 10 add-ons con requireEntitlement,10,22,ALTA,PENDIENTE,,,,,,,,,,,,SAAS ENTITLEMENTS,
SE-4,,,Backend,entitlements,Limites y contadores (soft/hard block),14,26,ALTA,PENDIENTE,,,,,,,,,,,,SAAS ENTITLEMENTS,
SE-5,,,Backend,entitlements,Billing SaaS: ciclo de vida + Stripe Subscriptions,18,34,ALTA,PENDIENTE,,,,,,,,,,,,SAAS ENTITLEMENTS,
SE-6,,,Frontend,entitlements,"Frontend: store, gate, upsell, medidores, admin config",17,32,ALTA,PENDIENTE,,,,,,,,,,,,SAAS ENTITLEMENTS,
SE-7,,,QA,entitlements,QA + Gate: matriz 401/402/403 + arckode analyze,10,16,ALTA,PENDIENTE,,,,,,,,,,,,SAAS ENTITLEMENTS,
SEC-2,,,Backend,Seguridad,Ownership real por ID: ttlock code-gen (V2 CRITICO) + pricing deleteBlock,5,7,CRITICA,COMPLETADO,,,,,,373,https://gitlab.com/underworf1/solmios/-/issues/373,,,,,SEGURIDAD MULTITENANT,
SEC-1,,,Backend,Seguridad,"Fix hotelOf IDOR: ttlock, pricing, amenities (V1/V3/V5)",6,9,ALTA,COMPLETADO,,,,,,373,https://gitlab.com/underworf1/solmios/-/issues/373,,,,,SEGURIDAD MULTITENANT,
SEC-3,,,Backend,Seguridad,Proteger GET /api/public/users (V6),2,2,MEDIA,COMPLETADO,,,,,,373,https://gitlab.com/underworf1/solmios/-/issues/373,,,,,SEGURIDAD MULTITENANT,
SEC-4,,,Backend,Seguridad,Rate limit hardening: XFF confiable (V7) + global keyBy (V8),4,6,MEDIA,COMPLETADO,,,,,,373,https://gitlab.com/underworf1/solmios/-/issues/373,,,,,SEGURIDAD MULTITENANT,
SEC-5,,,QA,Seguridad,Tests de tenancy cross-hotel + regresion super_admin,7,12,ALTA,COMPLETADO,,,,,,373,https://gitlab.com/underworf1/solmios/-/issues/373,,,,,SEGURIDAD MULTITENANT,
RES-F1-1,,,Backend,restaurante,Catalogo: menu/categorias/modificadores + impuesto por item,24,48,ALTA,PENDIENTE,,,,,,,,,,,,RESTAURANTE POS (F1 MVP),
RES-F1-2,,,Backend,restaurante,"Comandas + mesas: orders/order_items, estados, envio a cocina",32,64,ALTA,PENDIENTE,,,,,,,,,,,,RESTAURANTE POS (F1 MVP),
RES-F1-3,,,Backend,restaurante,Cocina/impresion: KDS WebSocket + ESC/POS TCP:9100,28,56,ALTA,PENDIENTE,,,,,,,,,,,,RESTAURANTE POS (F1 MVP),
RES-F1-4,,,Backend,restaurante,Cobro (folio/directo) + precuenta POST /orders/:id/bill,20,40,ALTA,PENDIENTE,,,,,,,,,,,,RESTAURANTE POS (F1 MVP),
RES-F1-5,,,Backend,restaurante,Control de fraude: PIN gerente + cargo a folio verificado (hab+apellido),16,32,CRITICA,PENDIENTE,,,,,,,,,,,,RESTAURANTE POS (F1 MVP),
RES-F2-1,,,Backend,restaurante,Cursos (coursing),16,32,MEDIA,PENDIENTE,,,,,,,,,,,,RESTAURANTE POS (F2),
RES-F2-2,,,Backend,restaurante,Mesas avanzado: juntar/separar + transferir,20,40,MEDIA,PENDIENTE,,,,,,,,,,,,RESTAURANTE POS (F2),
RES-F2-3,,,Backend,restaurante,Propina,12,24,MEDIA,PENDIENTE,,,,,,,,,,,,RESTAURANTE POS (F2),
RES-F2-4,,,Backend,restaurante,Reportes de ventas F&B,22,44,MEDIA,PENDIENTE,,,,,,,,,,,,RESTAURANTE POS (F2),
RES-F3-1,,,Backend,restaurante,Recetas + ingredientes (add-on pago),20,40,BAJA,PENDIENTE,,,,,,,,,,,,RESTAURANTE POS (F3 inventario),
RES-F3-2,,,Backend,restaurante,Costeo (COGS),12,24,BAJA,PENDIENTE,,,,,,,,,,,,RESTAURANTE POS (F3 inventario),
RES-F3-3,,,Backend,restaurante,Stock + descuento automatico,14,28,BAJA,PENDIENTE,,,,,,,,,,,,RESTAURANTE POS (F3 inventario),
